# Espectro limpiado con polynomial
# Fecha: 2025-09-30 11:27:11
ppm,intensity
-85.1276,210.73103001622445
-85.13759999999999,227.7850050797013
-85.14760000000001,233.58565617559378
-85.1576,212.8593333039019
-85.1676,210.20316646462567
-85.1776,229.4472056577651
-85.1876,211.0720608833201
-85.1976,207.44647214129077
-85.2076,253.22132943167708
-85.2176,204.77854275447902
-85.2276,214.4986521096966
-85.2376,269.9813274973298
-85.2476,204.05999891737864
-85.2576,207.5886263698431
-85.2676,209.71559985472322
-85.2776,203.48952937201898
-85.2876,244.40964492173038
-85.29759999999999,226.9660465038574
-85.30760000000001,205.77117411840004
-85.3176,195.48020776535833
-85.33760000000001,243.35956744473225
-85.3476,203.67975315652183
-85.35759999999999,201.77714490072702
-85.36760000000001,200.44536267734787
-85.38759999999999,278.5086664863843
-85.39760000000001,196.60985632783644
-85.4076,195.53003220170416
-85.4176,201.04866410798755
-85.4276,272.5133420466866
-85.4376,203.8696260178012
-85.4476,183.19719602133148
-85.4576,204.6158020572774
-85.4676,195.50869412563895
-85.4776,211.98837222641617
-85.4876,253.16053635960898
-85.4976,197.57007652521744
-85.5076,199.64160272324153
-85.5176,258.37754495368125
-85.5276,197.37808321653662
-85.5376,191.21134751180765
-85.54759999999999,213.3843278394943
-85.55760000000001,189.61009419959655
-85.5676,205.85127459211446
-85.57759999999999,213.51451501704798
-85.58760000000001,198.06329947439718
-85.5976,224.908719964162
-85.60759999999999,195.10732648634243
-85.61760000000001,258.0875990409385
-85.6276,187.78846762795024
-85.63759999999999,266.2140222473776
-85.64760000000001,187.31546289922062
-85.6576,253.13418958347924
-85.6676,197.3082823001535
-85.6776,178.3514010492434
-85.6876,199.99815383074895
-85.6976,222.5808566446701
-85.7076,194.64221349100688
-85.7176,207.89699636975934
-85.7276,181.01228528092741
-85.7376,191.59632022451112
-85.7476,263.84480120051046
-85.7576,186.63648820892547
-85.7676,205.9283212497561
-85.7776,186.29622032300233
-85.7876,299.5827654286642
-85.79759999999999,189.81107656674175
-85.80760000000001,212.73291373723492
-85.8176,187.07629694014372
-85.82759999999999,182.96880617546813
-85.83760000000001,252.2484814432082
-85.8476,186.4937427433639
-85.85759999999999,181.38939007593524
-85.86760000000001,195.65398344092222
-85.8776,188.6408728383248
-85.88759999999999,223.79774826814307
-85.89760000000001,271.415439730377
-85.9076,176.65851722502646
-85.9176,314.2480807520916
-85.9276,181.5566303115724
-85.9376,190.68613590346882
-85.9476,177.56818752778088
-85.9576,195.06821518450857
-85.9676,182.2445988736519
-85.9776,293.3563685952108
-85.9876,176.93973434918547
-85.9976,181.1764661355757
-86.0076,221.24032395438155
-86.0176,182.28217780560308
-86.0276,177.45955768924023
-86.0376,207.163353605293
-86.04759999999999,204.09493555376142
-86.05760000000001,176.43350353464547
-86.0676,181.78928754794515
-86.07759999999999,160.24839759366046
-86.08760000000001,159.3595236717914
-86.0976,153.062735782338
-86.10759999999999,217.0759339253002
-86.11760000000001,536.1874181006781
-86.1276,151.72338830847158
-86.13759999999999,331.2065445486807
-86.14760000000001,406.43488682130544
-86.1576,282.75761512634585
-86.1676,387.6671294638019
-86.1776,143.9032298336736
-86.1876,411.76011623596094
-86.1976,170.60548867066387
-86.2076,160.77184713778243
-86.2176,275.55649163731664
-86.2276,165.1494221692665
-86.2376,321.636338733632
-86.2476,391.5025413304131
-86.2576,169.85522995960986
-86.2676,164.19910462122226
-86.2776,360.76726531525026
-86.2876,138.53131204169395
-86.29759999999999,130.46244480055327
-86.30760000000001,143.8732635918282
-86.3176,324.35116841551877
-86.32759999999999,154.59325927162496
-86.33760000000001,124.40423616014681
-86.3476,153.04559908108428
-86.35759999999999,294.3950480344374
-86.36760000000001,172.23237302020613
-86.3776,234.13020403839053
-86.38759999999999,144.43101108899054
-86.39760000000001,264.86910417200625
-86.4076,595.6280832874374
-86.4176,147.8184484352844
-86.4276,141.00739961554697
-86.4376,297.92873682822517
-86.4476,240.694660073319
-86.4576,501.66076935082856
-86.4676,267.3054646607536
-86.4776,144.0209460030943
-86.4876,153.3540133778507
-86.4976,159.47726678502272
-86.5076,509.00610622461033
-86.5176,272.24253169661364
-86.5276,126.60204320103254
-86.5376,154.63664073786708
-86.54759999999999,245.9675243071173
-86.55760000000001,149.0641939087831
-86.5676,131.27324954286456
-86.57759999999999,206.78079120936167
-86.58760000000001,216.9366189082744
-86.5976,336.68983263960274
-86.60759999999999,153.67473240334675
-86.61760000000001,202.23221819950638
-86.6276,142.84589002808167
