 -85.1226 - -85.1126,-7.43561
 -85.1326 - -85.1226,-8.94449
 -85.1426 - -85.1326,8.46556
 -85.1526 - -85.1426,14.6221
 -85.1626 - -85.1526,-5.74852
 -85.1726 - -85.1626,-8.04917
 -85.1826 - -85.1726,11.5502
 -85.1926 - -85.1826,-6.4698
 -85.2026 - -85.1926,-9.74043
 -85.2126 - -85.2026,36.3892
 -85.2226 - -85.2126,-11.699
 -85.2326 - -85.2226,-1.62449
 -85.2426 - -85.2326,54.2124
 -85.2526 - -85.2426,-11.3549
 -85.2626 - -85.2526,-7.47243
 -85.2726 - -85.2626,-4.9918
 -85.2826 - -85.2726,-10.8644
 -85.2926 - -85.2826,30.409
 -85.3026 - -85.2926,13.3185
 -85.3126 - -85.3026,-7.52346
 -85.3226 - -85.3126,-17.4617
 -85.3426 - -85.3326,30.7702
 -85.3526 - -85.3426,-8.55726
 -85.3626 - -85.3526,-10.1077
 -85.3726 - -85.3626,-11.0875
 -85.3926 - -85.3826,67.3276
 -85.4026 - -85.3926,-14.2196
 -85.4126 - -85.4026,-14.948
 -85.4226 - -85.4126,-9.07813
 -85.4326 - -85.4226,62.7376
 -85.4426 - -85.4326,-5.55525
 -85.4526 - -85.4426,-25.877
 -85.4626 - -85.4526,-4.1079
 -85.4726 - -85.4626,-12.8647
 -85.4826 - -85.4726,3.9651
 -85.4926 - -85.4826,45.4872
 -85.5026 - -85.4926,-9.75351
 -85.5126 - -85.5026,-7.33242
 -85.5226 - -85.5126,51.7529
 -85.5326 - -85.5226,-8.89737
 -85.5426 - -85.5326,-14.7151
 -85.5526 - -85.5426,7.8067
 -85.5626 - -85.5526,-15.6189
 -85.5726 - -85.5626,0.970728
 -85.5826 - -85.5726,8.98223
 -85.5926 - -85.5826,-6.12091
 -85.6026 - -85.5926,21.0724
 -85.6126 - -85.6026,-8.38129
 -85.6226 - -85.6126,54.9465
 -85.6326 - -85.6226,-15.0053
 -85.6426 - -85.6326,63.7674
 -85.6526 - -85.6426,-14.7842
 -85.6626 - -85.6526,51.3813
 -85.6726 - -85.6626,-4.09802
 -85.6826 - -85.6726,-22.7085
 -85.6926 - -85.6826,-0.715532
 -85.7026 - -85.6926,22.2132
 -85.7126 - -85.7026,-5.3796
 -85.7226 - -85.7126,8.22084
 -85.7326 - -85.7226,-18.3184
 -85.7426 - -85.7326,-7.38908
 -85.7526 - -85.7426,65.2045
 -85.7626 - -85.7526,-11.6589
 -85.7726 - -85.7626,7.97766
 -85.7826 - -85.7726,-11.3099
 -85.7926 - -85.7826,102.321
 -85.8026 - -85.7926,-7.10652
 -85.8126 - -85.8026,16.1593
 -85.8226 - -85.8126,-9.15352
 -85.8326 - -85.8226,-12.9174
 -85.8426 - -85.8326,56.7057
 -85.8526 - -85.8426,-8.7058
 -85.8626 - -85.8526,-13.4671
 -85.8726 - -85.8626,1.14036
 -85.8826 - -85.8726,-5.53007
 -85.8926 - -85.8826,29.9693
 -85.9026 - -85.8926,77.9293
 -85.9126 - -85.9026,-16.4855
 -85.9226 - -85.9126,121.446
 -85.9326 - -85.9226,-10.9037
 -85.9426 - -85.9326,-1.43263
 -85.9526 - -85.9426,-14.2092
 -85.9626 - -85.9526,3.63202
 -85.9726 - -85.9626,-8.85059
 -85.9826 - -85.9726,102.602
 -85.9926 - -85.9826,-13.474
 -86.0026 - -85.9926,-8.89682
 -86.0126 - -86.0026,31.5073
 -86.0226 - -86.0126,-7.11077
 -86.0326 - -86.0226,-11.5935
 -86.0426 - -86.0326,18.45
 -86.0526 - -86.0426,15.7211
 -86.0626 - -86.0526,-11.601
 -86.0726 - -86.0626,-5.90607
 -86.0826 - -86.0726,-27.108
 -86.0926 - -86.0826,-27.6581
 -86.1026 - -86.0926,-33.6163
 -86.1126 - -86.1026,30.7353
 -86.1226 - -86.1126,350.185
 -86.1326 - -86.1226,-33.941
 -86.1426 - -86.1326,145.88
 -86.1526 - -86.1426,221.446
 -86.1626 - -86.1526,98.1062
 -86.1726 - -86.1626,203.353
 -86.1826 - -86.1726,-40.0738
